x,y
0.0725,20734.859553976396
0.07275,20604.356185660654
0.073,20474.67419397867
0.07325,20345.808409258694
0.0735,20217.75369436646
0.07375,20090.504944500357
0.074,19964.05708698793
0.07425,19838.4050810837
0.0745,19713.543917768176
0.07475,19589.468619548195
0.075,19466.174240258504
0.07525,19343.65586486456
0.0755,19221.90860926662
0.07575,19100.927620105034
0.076,18980.708074566766
0.07625,18861.24518019314
0.0765,18742.534174688775
0.07675,18624.570325731784
0.077,18507.34893078507
0.07725,18390.86531690889
0.0775,18275.114840574584
0.07775,18160.092887479437
0.078,18045.79487236275
0.07825,17932.21623882305
0.0785,17819.352459136448
0.07875,17707.199034076155
0.079,17595.7514927331
0.07925,17485.00539233774
0.0795,17374.956318082914
0.07975,17265.599882947867
0.08,17156.931727523377
0.08025,17048.94751983794
0.0805,16941.642955185103
0.08075,16835.01375595186
0.081,16729.055671448114
0.08125,16623.76447773724
0.0815,16519.135977467693
0.08175,16415.16599970569
0.082,16311.850399768924
0.08225,16209.185059061369
0.0825,16107.165884909065
0.08275,16005.788810396984
0.083,15905.049794206898
0.08325,15804.944820456281
0.0835,15705.469898538211
0.08375,15606.621062962296
0.084,15508.39437319659
0.08425,15410.7859135105
0.0845,15313.791792818703
0.08475,15217.408144526013
0.085,15121.631126373259
0.08525,15026.456920284103
0.0855,14931.881732212845
0.08575,14837.901791993174
0.086,14744.513353187867
0.08625,14651.712692939438
0.0865,14559.496111821752
0.08675,14467.859933692529
0.087,14376.800505546795
0.08725,14286.314197371272
0.0875,14196.397401999662
0.08775,14107.046534968858
0.088,14018.258034376036
0.08825,13930.02836073668
0.0885,13842.35399684347
0.08875,13755.231447626084
0.089,13668.657240011857
0.08925,13582.627922787338
0.0895,13497.140066460708
0.08975,13412.190263125069
0.09,13327.775126322575
0.09025,13243.89129090946
0.0905,13160.535412921865
0.09075,13077.704169442548
0.091,12995.394258468408
0.09125,12913.60239877887
0.0915,12832.325329805057
0.09175,12751.559811499834
0.092,12671.302624208627
0.09225,12591.550568541088
0.0925,12512.30046524355
0.09275,12433.549155072284
0.093,12355.293498667554
0.09325,12277.53037642849
0.0935,12200.256688388707
0.09375,12123.46935409273
0.094,12047.165312473198
0.09425,11971.341521728842
0.0945,11895.99495920322
0.09475,11821.122621264218
0.095,11746.721523184317
0.09525,11672.78869902161
0.0955,11599.321201501567
0.09575,11526.316101899538
0.096,11453.77048992401
0.09625,11381.681473600587
0.0965,11310.046179156701
0.09675,11238.861750907054
0.097,11168.125351139784
0.09725,11097.834160003325
0.0975,11027.98537539402
0.09775,10958.576212844393
0.098,10889.603905412167
0.09825,10821.065703569946
0.0985,10752.958875095625
0.09875,10685.280704963458
0.099,10618.028495235832
0.09925,10551.19956495571
0.0995,10484.791250039769
0.09975,10418.800903172183
0.1,10353.2258936991
0.10025,10288.063607523773
0.1005,10223.31144700234
0.10075,10158.966830840289
0.101,10095.02719398954
0.10125,10031.4899875462
0.1015,10000
0.10175,10000
0.102,10000
0.10225,10000
0.1025,10000
0.10275,10000
0.103,10000
0.10325,10000
0.1035,10000
0.10375,10000
0.104,10000
0.10425,10000
0.1045,10000
0.10475,10000
0.105,10000
0.10525,10000
0.1055,10000
0.10575,10000
0.106,10000
0.10625,10000
0.1065,10000
0.10675,10000
0.107,10000
0.10725,10000
0.1075,10000
0.10775,10000
0.108,10000
0.10825,10000
0.1085,10000
0.10875,10000
0.109,10000
0.10925,10000
0.1095,10000
0.10975,10000
0.11,10000
0.11025,10000
0.1105,10000
0.11075,10000
0.111,10000
0.11125,10000
0.1115,10000
0.11175,10000
0.112,10000
0.11225,10000
0.1125,10000
0.11275,10000
0.113,10000
0.11325,10000
0.1135,10000
0.11375,10000
0.114,10000
0.11425,10000
0.1145,10000
0.11475,10000
0.115,10000
0.11525,10000
0.1155,10000
0.11575,10000
0.116,10000
0.11625,10000
0.1165,10000
0.11675,10000
0.117,10000
0.11725,10000
0.1175,10000
0.11775,10000
0.118,10000
0.11825,10000
0.1185,10000
0.11875,10000
0.119,10000
0.11925,10000
0.1195,10000
0.11975,10000
0.12,10000
0.12025,10000
0.1205,10000
0.12075,10000
0.121,10000
0.12125,10000
0.1215,10000
0.12175,10000
0.122,10000
0.12225,10000
0.1225,10000
0.12275,10000
0.123,10000
0.12325,10000
0.1235,10000
0.12375,10000
0.124,10000
0.12425,10000
0.1245,10000
0.12475,10000
0.125,10000
0.12525,10000
0.1255,10000
0.12575,10000
0.126,10000
0.12625,10000
0.1265,10000
0.12675,10000
0.127,10000
0.12725,10000
0.1275,10000
0.12775,10000
0.128,10000
0.12825,10000
0.1285,10000
0.12875,10000
0.129,10000
0.12925,10000
0.1295,10000
0.12975,10000
0.13,10000
0.13025,10000
0.1305,10000
0.13075,10000
0.131,10000
0.13125,10000
0.1315,10000
0.13175,10000
0.132,10000
0.13225,10000
0.1325,10000
0.13275,10000
0.133,10000
0.13325,10000
0.1335,10000
0.13375,10000
0.134,10000
0.13425,10000
0.1345,10000
0.13475,10000
0.135,10000
0.13525,10000
0.1355,10000
